Location,Estate,Latitude,Longitude,Price,Saleable,Area,Floor_level,Transaction_price,Square_feet,Discount_rate,Assignment_date,Credit_level,Credit_value
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,552600,32,349,L,17269,1583,82,2/3/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,656900,41,443,L,16022,1483,20,3/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,465900,22,241,M,21177,1933,82,7/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,1073600,51,544,M,21051,1974,18,8/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,801900,42,449,H,19093,1786,19,9/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,882900,45,485,L,19620,1820,21,10/3/2021,0,0
KOWLOON EAST (2),CHOI HA ESTATE,22.32603,114.21825,877900,41,443,H,21412,1982,20,11/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,558100,35,381,H,15946,1465,19,12/3/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,637900,35,381,L,18226,1674,20,13/3/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,425700,35,381,H,12163,1117,17,14/3/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,533600,28,296,M,19057,1803,17,15/3/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,663200,45,489,H,14738,1356,19,16/3/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,583700,34,366,L,17168,1595,19,17/3/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,813000,41,443,H,19829,1835,19,18/3/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,603300,41,443,M,14715,1362,19,19/3/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,554900,41,443,H,13534,1253,18,20/3/2021,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,610200,35,381,L,17434,1602,21,21/3/2021,0,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,983300,46,494,L,21376,1990,82,23/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,723500,35,376,L,20671,1924,19,24/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,575700,34,366,L,16932,1573,18,25/3/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,686700,51,544,L,13465,1262,19,26/3/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444100,32,349,L,13878,1272,20,27/3/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,766800,41,443,M,18702,1731,19,28/3/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,725900,41,443,L,17705,1639,19,29/3/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,713700,41,443,H,17407,1611,18,30/3/2021,0,0
TAI PO  NORTH & SHATIN (1),HIN KENG ESTATE,22.36399,114.17324,627700,35,381,M,17934,1648,20,31/3/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,551700,33,358,M,16718,1541,20,4/4/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,561300,28,296,M,20046,1896,17,5/4/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,772500,35,376,M,22071,2055,20,6/4/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI PING ESTATE,22.49797,114.12668,537100,35,377,M,15346,1425,20,7/4/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,814500,46,490,L,17707,1662,17,8/4/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,417100,34,366,L,12268,1140,20,9/4/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,572600,41,443,L,13966,1293,19,10/4/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,586400,41,443,L,14302,1324,19,11/4/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,668200,35,381,L,19091,1754,19,12/4/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,620700,35,381,L,17734,1629,86,13/4/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,722300,44,476,M,16416,1517,82,14/4/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,437500,20,217,M,21875,2016,82,15/4/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,763600,45,487,L,16969,1568,82,16/4/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,462900,33,358,M,14027,1293,82,18/4/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305400,27,294,L,11311,1039,86,19/4/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,772500,41,443,M,18841,1744,82,20/4/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,543200,32,349,L,16975,1556,83,23/4/2021,0,0
TAI PO  NORTH & SHATIN (3),KWONG YUEN ESTATE,22.38123,114.21415,556100,35,381,H,15889,1460,83,24/4/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,395700,35,381,L,11306,1039,86,25/4/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,414000,35,381,M,11829,1087,86,26/4/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300200,28,296,L,10721,1014,86,28/4/2021,0,0
TAI PO  NORTH & SHATIN (1),HIN KENG ESTATE,22.36399,114.17324,674500,36,385,H,18736,1752,81,29/4/2021,0,0
KWAI CHUNG,KWAI HING ESTATE,22.36625,114.13261,384700,22,241,M,17486,1596,20,1/5/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,582000,33,355,M,17636,1639,19,2/5/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,594900,35,376,M,16997,1582,19,3/5/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,775700,46,490,M,16863,1583,21,4/5/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,335600,26,284,M,12908,1182,18,5/5/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,455900,25,264,M,18236,1727,20,6/5/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,478800,32,349,M,14963,1372,16,7/5/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,338700,20,212,L,16935,1598,19,8/5/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,515700,27,294,L,19100,1754,17,9/5/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,472300,26,277,L,18165,1705,20,10/5/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,508700,33,351,L,15415,1449,19,11/5/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,896500,45,485,L,19922,1848,82,12/5/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,669400,35,381,L,19126,1757,19,13/5/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,423100,35,381,M,12089,1110,17,14/5/2021,0,0
HONG KONG ISLAND & ISLANDS (1),FUNG WAH ESTATE,22.2611,114.23152,641400,35,376,M,18326,1706,21,17/5/2021,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,583900,34,366,M,17174,1595,22,18/5/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,474000,22,241,M,21545,1967,20,19/5/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,529300,34,366,M,15568,1446,19,20/5/2021,0,0
TAI PO  NORTH & SHATIN (3),KWONG YUEN ESTATE,22.38123,114.21415,534700,35,376,M,15277,1422,19,21/5/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,529000,35,375,H,15114,1411,19,22/5/2021,0,0
TUEN MUN & YUEN LONG (3),TIN KING ESTATE,22.40587,113.96399,352100,33,355,L,10670,992,18,23/5/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,432600,35,376,L,12360,1151,83,24/5/2021,0,0
KOWLOON EAST (1),HING TIN ESTATE,22.31285,114.23877,550900,35,381,L,15740,1446,20,25/5/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,534300,33,354,M,16191,1509,19,26/5/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,447800,26,277,M,17223,1617,20,27/5/2021,0,0
TAI PO  NORTH & SHATIN (3),KWONG YUEN ESTATE,22.38123,114.21415,391700,25,264,M,15668,1484,19,28/5/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,313900,19,208,M,16521,1509,20,29/5/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,526900,32,349,M,16466,1510,20,30/5/2021,0,0
TUEN MUN & YUEN LONG (3),TIN KING ESTATE,22.40587,113.96399,388900,32,349,M,12153,1114,18,31/5/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,326600,27,287,H,12096,1138,18,1/6/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,455400,34,367,L,13394,1241,19,2/6/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,433600,33,354,L,13139,1225,19,3/6/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,518600,32,349,L,16206,1486,19,4/6/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,427300,26,277,L,16435,1543,20,5/6/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,490400,28,296,L,17514,1657,17,6/6/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,419800,26,283,L,16146,1483,82,7/6/2021,0,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,293000,14,145,L,20929,2021,82,8/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,448700,24,263,L,18696,1706,20,9/6/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,476500,27,286,M,17648,1666,21,11/6/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,436500,27,292,M,16167,1495,21,12/6/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,480800,27,292,M,17807,1647,21,13/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,375200,25,264,L,15008,1421,19,14/6/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,435600,26,277,L,16754,1573,20,15/6/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,458400,26,283,M,17631,1620,20,18/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,443900,22,241,M,20177,1842,19,19/6/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,479700,32,349,M,14991,1374,16,20/6/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,428400,26,283,L,16477,1514,20,21/6/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,456400,26,284,L,17554,1607,20,22/6/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,358700,33,355,L,10870,1010,18,23/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,531800,25,267,L,21272,1992,20,24/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,446800,26,284,L,17185,1573,20,25/6/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,460800,22,241,L,20945,1912,20,26/6/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,466800,26,277,M,17954,1685,20,28/6/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,438100,27,292,M,16226,1500,21,29/6/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,317300,27,294,M,11752,1079,18,30/6/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,326500,27,294,M,12093,1111,18,1/7/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,342300,25,264,M,13692,1297,19,2/7/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,314600,27,294,H,11652,1070,18,3/7/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,332600,28,296,H,11879,1124,18,4/7/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,452500,27,286,H,16759,1582,21,5/7/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,435000,26,283,L,16731,1537,20,6/7/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,426700,26,277,L,16412,1540,20,7/7/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,451300,27,294,L,16715,1535,21,8/7/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,426600,26,277,L,16408,1540,20,9/7/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,593200,36,385,M,16478,1541,19,13/7/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,619500,36,385,M,17208,1609,19,14/7/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,834900,41,439,L,20363,1902,82,15/7/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,622900,33,355,L,18876,1755,21,16/7/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,468000,35,381,L,13371,1228,17,17/7/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,466800,26,277,M,17954,1685,20,19/7/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,486900,33,355,M,14755,1372,16,20/7/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,324500,28,296,M,11589,1096,18,21/7/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,461100,22,241,H,20959,1913,19,22/7/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,413300,27,292,L,15307,1415,21,23/7/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,392500,27,294,L,14537,1335,21,24/7/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,319200,26,283,L,12277,1128,18,25/7/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,430600,32,349,L,13456,1234,20,26/7/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,490300,32,349,L,15322,1405,20,27/7/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,487100,32,349,L,15222,1396,19,28/7/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,439900,26,283,M,16919,1554,20,30/7/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,436300,26,277,M,16781,1575,20,31/7/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,497000,27,294,M,18407,1690,17,1/8/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,357900,20,217,M,17895,1649,20,2/8/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,403000,26,277,L,15500,1455,20,3/8/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,406900,26,277,L,15650,1469,20,4/8/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,409200,26,277,L,15738,1477,20,5/8/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,457000,26,277,L,17577,1650,20,6/8/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,461400,26,277,L,17746,1666,20,7/8/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,298600,28,296,L,10664,1009,18,8/8/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,414900,26,277,L,15958,1498,20,9/8/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,545700,25,267,M,21828,2044,20,10/8/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,376900,20,217,M,18845,1737,20,11/8/2021,0,0
TAI PO  NORTH & SHATIN (2),WAN TAU TONG ESTATE,22.44275,114.16876,407700,25,264,M,16308,1544,19,12/8/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,407000,26,277,L,15654,1469,20,13/8/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,418400,26,283,L,16092,1478,20,14/8/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,411700,19,208,L,21668,1979,20,15/8/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,736600,41,443,L,17966,1663,81,16/8/2021,0,0
