Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeStatus,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Allowance,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,Sales,4,3,Life Sciences,,707,Male,2,Manager,Single,34264,1,2870,16,8,0,10,3,10,9,6
51,No,Travel_Rarely,Sales,18,2,Life Sciences,,705,Male,5,Manufacturing Supervisor,Divorced,5768,1,2870,13,8,1,33,2,33,0,10
26,No,Travel_Rarely,Research & Development,3,2,Medical,,161,Female,4,Healthcare Representative,Divorced,26432,1,2870,24,8,0,3,2,3,0,2
43,No,Travel_Frequently,Sales,4,3,Medical,,234,Female,2,Healthcare Representative,Divorced,14668,3,2870,11,8,1,10,5,8,4,7
46,No,Travel_Rarely,Sales,4,1,Technical Degree,,172,Male,2,Laboratory Technician,Married,80664,6,2870,21,8,1,26,3,3,0,1
34,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Active,791,Female,5,Sales Representative,Single,22780,3,2860,15,8,1,15,5,13,3,12
50,No,Travel_Rarely,Sales,10,4,Life Sciences,Active,168,Female,3,Research Technician,Married,10400,0,2860,12,8,0,28,3,27,15,7
26,No,Travel_Rarely,Research & Development,9,4,Medical,Active,203,Male,3,Healthcare Representative,Divorced,8712,5,2860,17,8,3,8,3,0,0,0
43,No,Travel_Frequently,Research & Development,7,4,Medical,Active,58,Male,4,Research Technician,Single,13624,0,2860,15,8,0,9,2,8,1,7
45,No,Travel_Rarely,Research & Development,1,5,Technical Degree,Active,368,Male,2,Healthcare Representative,Divorced,12332,4,2860,15,8,3,18,2,5,0,2
34,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Active,860,Male,2,Manager,Married,47028,9,2850,18,8,1,9,3,2,2,1
50,No,Travel_Frequently,Research & Development,25,4,Life Sciences,Active,610,Female,2,Healthcare Representative,Married,43000,2,2850,24,8,1,32,2,2,2,2
26,No,Travel_Frequently,Research & Development,3,3,Medical,Active,512,Male,2,Laboratory Technician,Divorced,23396,1,2850,11,8,2,5,1,5,1,3
43,No,Travel_Frequently,Research & Development,14,3,Medical,Active,73,Female,4,Research Supervisor,Divorced,7344,1,2850,17,8,2,9,2,9,0,0
45,No,Travel_Rarely,Sales,29,2,Technical Degree,Active,885,Female,2,Research Technician,Single,12208,1,2850,12,8,0,10,2,10,1,4
33,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Active,834,Male,1,Research Technician,Single,8124,1,2840,13,8,3,5,1,5,0,2
50,No,Non-Travel,Human Resources,2,2,Life Sciences,Active,494,Male,1,Laboratory Technician,Married,24000,0,2840,11,8,0,19,3,18,0,13
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,Active,31,Male,5,Research Technician,Divorced,15200,2,2840,11,8,0,5,5,3,0,2
43,No,Travel_Frequently,Research & Development,5,3,Medical,Active,555,Female,2,Laboratory Technician,Married,11072,8,2840,19,8,1,18,3,8,0,1
44,No,Travel_Rarely,Research & Development,10,3,Technical Degree,Active,883,Male,3,Research Technician,Divorced,19032,0,2840,21,8,2,23,2,22,1,10
33,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Active,362,Male,3,Laboratory Technician,Divorced,10040,1,2830,13,8,1,9,3,9,0,8
50,No,Travel_Rarely,Sales,9,3,Life Sciences,Active,282,Male,2,Research Technician,Married,16496,7,2830,25,8,1,4,0,2,2,2
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,Active,36,Male,2,Research Technician,Single,17124,1,2830,12,8,2,8,5,8,7,4
43,No,Travel_Frequently,Research & Development,1,3,Medical,Active,393,Male,1,Laboratory Technician,Married,22012,4,2830,11,8,1,12,4,5,2,2
44,No,Travel_Rarely,Research & Development,9,3,Technical Degree,Active,943,Female,5,Healthcare Representative,Divorced,29332,4,2830,12,8,0,8,2,2,2,2
33,Yes,Travel_Rarely,Research & Development,23,5,Life Sciences,Active,334,Male,1,Human Resources,Single,18332,5,2820,16,8,2,6,3,3,0,2
50,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Active,331,Male,2,Sales Executive,Married,21952,5,2820,11,8,1,30,3,4,0,3
26,No,Travel_Rarely,Research & Development,5,4,Medical,Active,524,Female,2,Sales Executive,Married,7704,1,2820,11,8,1,6,3,5,1,3
43,No,Travel_Rarely,Research & Development,25,2,Medical,Active,352,Male,2,Healthcare Representative,Married,12692,6,2820,13,8,0,22,3,4,1,0
43,No,Travel_Rarely,Research & Development,10,5,Technical Degree,Active,232,Female,2,Sales Executive,Divorced,48000,4,2820,11,8,0,21,3,1,0,0
33,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Active,809,Male,2,Research Technician,Married,11576,8,2810,22,8,2,8,2,5,0,2
50,No,Travel_Rarely,Sales,10,1,Life Sciences,Active,457,Female,1,Manufacturing Supervisor,Divorced,10588,9,2810,21,8,2,32,2,5,1,3
26,No,Travel_Rarely,Sales,28,3,Medical,Active,98,Female,5,Laboratory Technician,Married,20668,1,2810,15,8,3,8,3,8,7,7
43,No,Travel_Rarely,Research & Development,7,2,Medical,Active,669,Female,5,Laboratory Technician,Single,43000,3,2810,18,8,2,23,3,21,15,17
42,No,Travel_Frequently,Human Resources,1,4,Technical Degree,Active,836,Male,2,Manufacturing Supervisor,Married,7500,2,2810,17,8,2,24,1,20,13,9
33,No,Travel_Frequently,Sales,4,2,Life Sciences,Active,71,Male,4,Research Technician,Single,11980,3,2800,11,8,1,9,0,7,0,1
50,No,Travel_Rarely,Sales,8,4,Life Sciences,Active,22,Male,1,Research Technician,Divorced,26532,3,2800,23,8,0,28,2,10,1,6
26,No,Travel_Rarely,Research & Development,9,1,Medical,Active,967,Male,1,Sales Executive,Married,19692,1,2800,14,8,1,3,2,3,0,2
43,No,Travel_Rarely,Research & Development,2,2,Medical,Active,738,Male,5,Laboratory Technician,Single,14868,1,2800,14,8,2,20,1,20,1,8
42,No,Travel_Rarely,Sales,11,1,Technical Degree,Active,415,Male,2,Human Resources,Single,22984,7,2800,16,8,0,10,2,5,0,3
33,Yes,Travel_Rarely,Research & Development,8,2,Life Sciences,Active,541,Male,4,Manufacturing Supervisor,Single,8548,4,2790,13,8,0,5,2,2,2,2
50,No,Travel_Rarely,Research & Development,5,4,Life Sciences,Active,509,Male,5,Sales Executive,Married,15000,2,2790,13,8,1,29,2,8,7,7
26,No,Non-Travel,Research & Development,18,2,Medical,Active,949,Male,1,Human Resources,Single,19440,1,2790,23,8,1,7,5,7,5,7
42,No,Travel_Rarely,Sales,2,2,Medical,Active,99,Female,1,Laboratory Technician,Single,22012,3,2790,13,8,2,14,2,1,0,0
42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,Active,156,Male,5,Sales Executive,Married,30640,0,2790,13,8,2,7,2,6,0,4
33,No,Travel_Rarely,Sales,7,3,Life Sciences,Active,398,Male,2,Manufacturing Supervisor,Divorced,12000,3,2780,11,8,1,7,3,4,0,3
49,No,Travel_Rarely,Research & Development,5,4,Life Sciences,Active,814,Female,1,Research Technician,Married,7312,4,2780,11,8,0,10,3,3,1,2
25,No,Travel_Rarely,Research & Development,1,4,Medical,Active,746,Male,2,Sales Executive,Married,33332,4,2780,14,8,2,7,2,3,0,2
42,No,Travel_Frequently,Research & Development,9,4,Medical,Active,327,,1,Manufacturing Supervisor,Divorced,50000,1,2780,15,8,1,24,2,24,14,9
41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Active,146,Female,3,Manager,Married,38152,1,2780,14,8,0,10,2,10,0,7
33,No,Travel_Rarely,Sales,3,3,Life Sciences,Active,953,Male,3,Research Technician,Married,14392,1,2770,11,8,0,14,0,14,2,13
49,No,Travel_Rarely,Sales,14,4,Life Sciences,Active,642,Male,2,Research Technician,Married,7628,2,2770,14,8,0,23,2,1,0,0
25,No,Travel_Rarely,Research & Development,6,2,Medical,Active,628,Female,1,Laboratory Technician,Single,16668,0,2770,22,8,1,5,0,4,1,1
42,No,Travel_Rarely,Sales,7,4,Medical,Active,93,,3,Research Technician,Divorced,13596,0,2770,12,8,1,4,3,3,1,0
40,No,Travel_Rarely,Research & Development,22,2,Technical Degree,Active,972,Male,1,Healthcare Representative,Married,14816,2,2770,16,8,1,18,2,1,0,0
33,No,Travel_Rarely,Research & Development,28,4,Life Sciences,Active,606,Female,1,Research Technician,Married,14908,1,2760,15,8,0,5,6,5,1,4
49,Yes,Travel_Rarely,Sales,7,2,Life Sciences,Active,350,Female,2,Healthcare Representative,Married,8528,1,2760,14,8,2,9,2,9,7,7
25,No,Non-Travel,Research & Development,7,4,Medical,Active,10,Female,4,Laboratory Technician,Divorced,9936,1,2760,13,8,1,6,2,6,1,5
42,No,Non-Travel,Research & Development,5,4,Medical,Active,621,,5,Sales Executive,Married,9692,7,2760,11,8,0,10,3,4,0,3
40,No,Travel_Rarely,Research & Development,8,3,Technical Degree,Active,907,Female,2,Healthcare Representative,Single,24180,6,2760,17,8,0,18,2,4,3,3
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,Active,998,Male,1,Sales Executive,Single,14040,2,2750,13,8,0,11,3,0,0,0
49,No,Travel_Rarely,Sales,21,1,Life Sciences,Active,216,Male,1,Sales Executive,Divorced,14700,1,2750,18,8,2,31,2,31,0,9
25,No,Travel_Rarely,Research & Development,6,2,Medical,Active,708,Female,4,Research Technician,Married,15252,3,2750,19,8,0,7,3,3,1,2
42,No,Travel_Rarely,Research & Development,5,3,Medical,Active,194,Male,3,Sales Executive,Married,13596,1,2750,14,8,0,10,3,10,5,8
40,No,Non-Travel,Research & Development,1,4,Technical Degree,Active,201,Female,2,Laboratory Technician,Divorced,24000,3,2750,19,8,0,20,3,1,0,1
33,Yes,Travel_Rarely,Research & Development,3,2,Life Sciences,Active,572,Male,1,Sales Executive,Single,38016,0,2740,14,8,0,6,2,5,0,3
49,No,Travel_Rarely,Research & Development,25,2,Life Sciences,Active,420,Female,2,Sales Executive,Married,69052,4,2740,15,8,0,29,3,26,1,7
25,No,Travel_Rarely,Research & Development,11,3,Medical,Active,260,Male,2,Manufacturing Supervisor,Married,18264,0,2740,11,8,1,4,3,3,1,2
42,No,Travel_Frequently,Research & Development,8,4,Medical,Active,793,Female,1,Sales Executive,Single,16036,1,2740,22,8,2,12,2,12,5,8
39,No,Travel_Frequently,Research & Development,2,3,Technical Degree,Active,902,Female,5,Research Technician,Single,10400,0,2740,11,8,0,10,2,9,3,8
33,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Active,333,Male,4,Manufacturing Supervisor,Married,13624,0,2730,12,8,1,14,2,13,3,7
49,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Active,787,Male,3,Laboratory Technician,Married,17332,2,2730,19,8,0,20,2,3,1,2
25,No,Travel_Rarely,Research & Development,17,3,Medical,Active,361,Male,5,Laboratory Technician,Single,19548,7,2730,11,8,3,6,5,4,0,1
42,No,Travel_Frequently,Human Resources,8,2,Medical,Active,630,Male,1,Sales Executive,Married,20000,3,2730,13,8,1,20,1,1,0,0
39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,Active,143,Female,1,Sales Executive,Divorced,15952,1,2730,20,8,1,21,5,21,1,6
33,No,Travel_Rarely,Research & Development,15,4,Life Sciences,Active,817,Female,1,Sales Executive,Single,15968,2,2720,15,8,3,14,2,0,0,0
49,No,Travel_Rarely,Sales,4,2,Life Sciences,Active,919,Male,2,Research Supervisor,Married,8948,3,2720,24,8,0,27,4,4,1,2
24,No,Travel_Rarely,Sales,7,3,Medical,Active,219,Female,1,Laboratory Technician,Married,23764,1,2720,12,8,0,1,4,1,0,0
42,No,Travel_Rarely,Research & Development,2,3,Medical,Active,131,Female,5,Manager,Divorced,45668,3,2720,12,8,1,8,2,5,1,2
39,No,Travel_Rarely,Sales,6,1,Technical Degree,Active,822,Female,2,Laboratory Technician,Single,22000,4,2720,17,8,1,9,2,2,2,2
33,Yes,Travel_Frequently,Research & Development,1,2,Life Sciences,Active,535,Female,1,Sales Executive,Single,10400,1,2710,19,8,2,14,3,13,3,8
49,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Active,890,Male,5,Healthcare Representative,Married,9936,1,2710,14,8,1,10,2,9,1,4
24,Yes,Travel_Rarely,Research & Development,27,2,Medical,Active,157,Male,1,Research Technician,Single,7244,1,2710,17,8,1,6,0,5,1,4
42,No,Travel_Rarely,Research & Development,20,2,Medical,Active,347,Male,5,Sales Representative,Married,12832,1,2710,15,8,0,10,3,9,7,8
39,No,Travel_Rarely,Research & Development,17,4,Technical Degree,Active,729,Female,2,Healthcare Representative,Married,13708,3,2710,11,8,1,8,3,5,1,4
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,Active,178,Female,4,Research Supervisor,Married,15460,7,2700,22,8,0,15,2,7,7,7
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Active,59,Male,5,Manufacturing Supervisor,Single,28400,7,2700,22,8,0,25,2,7,0,7
24,Yes,Travel_Frequently,Research & Development,2,3,Medical,Active,222,Male,2,Research Technician,Married,12348,1,2700,21,8,0,6,3,6,1,2
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,Active,109,Female,1,Research Technician,Single,6152,1,2700,11,8,0,8,3,8,7,7
38,No,Travel_Frequently,Research & Development,13,3,Technical Degree,Active,465,Male,1,Manufacturing Supervisor,Married,16664,0,2700,17,8,2,3,5,2,0,2
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Active,56,Male,5,Research Supervisor,Married,15384,6,2690,12,8,1,12,3,10,8,8
48,No,Non-Travel,Sales,2,1,Life Sciences,Active,547,Male,2,Sales Executive,Single,18832,2,2690,11,8,0,27,3,5,2,1
24,Yes,Travel_Rarely,Sales,6,2,Medical,Active,965,Female,2,Research Technician,Married,20496,1,2690,12,8,0,1,2,1,0,0
41,No,Non-Travel,Sales,2,2,Medical,Active,971,Male,2,Research Technician,Married,8180,6,2690,14,8,2,10,5,3,1,2
38,No,Travel_Rarely,Research & Development,5,3,Technical Degree,Active,527,Male,1,Sales Executive,Married,9332,0,2690,11,8,0,20,3,19,1,9
33,No,Travel_Rarely,Research & Development,8,2,Life Sciences,Active,651,Female,2,Manager,Divorced,73332,0,2680,13,8,1,10,2,9,0,8
48,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Active,712,Male,2,Research Technician,Single,10792,1,2680,20,8,0,11,2,10,0,8
23,No,Travel_Rarely,Sales,2,3,Medical,Active,653,Male,3,Laboratory Technician,Married,63036,1,2680,13,8,1,1,2,1,0,1
41,No,Travel_Rarely,Research & Development,4,2,Medical,Active,573,Male,2,Research Technician,Married,13000,3,2680,12,8,0,6,3,1,0,0
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,Active,129,Male,1,Sales Executive,Divorced,95212,1,2680,14,8,1,18,3,18,12,17
32,Yes,Travel_Rarely,Sales,1,3,Life Sciences,Active,948,Male,2,Research Technician,Single,8948,1,2670,19,8,1,1,2,1,0,0
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Active,644,Female,2,Laboratory Technician,Single,9756,5,2670,13,8,1,7,2,1,0,0
23,No,Travel_Rarely,Research & Development,2,4,Medical,Active,825,Female,2,Research Technician,Single,10332,0,2670,19,8,1,5,2,4,1,2
41,No,Travel_Rarely,Research & Development,1,4,Medical,Active,429,Male,5,Research Technician,Single,19780,2,2670,13,8,0,20,5,18,2,17
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,Active,96,Male,2,Manufacturing Supervisor,Divorced,11500,4,2670,12,8,0,13,2,7,6,7
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Active,243,Female,1,Healthcare Representative,Married,27128,1,2660,16,8,1,6,3,6,0,5
48,No,Travel_Rarely,Research & Development,2,5,Life Sciences,Active,857,Male,1,Sales Executive,Married,7280,8,2660,12,8,1,10,4,8,7,6
23,Yes,Travel_Rarely,Sales,2,3,Medical,Active,328,Female,4,Manufacturing Supervisor,Married,28340,1,2660,18,8,1,1,2,0,0,0
41,No,Travel_Rarely,Sales,6,3,Medical,Active,278,Male,1,Sales Executive,Divorced,12000,3,2660,24,8,3,23,3,21,12,6
37,No,Travel_Rarely,Sales,2,4,Technical Degree,Active,320,Male,2,Manufacturing Supervisor,Divorced,12976,0,2660,11,8,0,6,1,5,4,3
32,Yes,Non-Travel,Research & Development,7,2,Life Sciences,Active,212,Female,2,Research Supervisor,Married,46000,8,2650,22,8,0,6,4,4,1,2
47,Yes,Travel_Frequently,Research & Development,4,3,Life Sciences,Active,309,Male,1,Research Supervisor,Single,7452,4,2650,13,8,1,NA,2,5,1,3
23,Yes,Travel_Rarely,Research & Development,12,2,Medical,Active,956,Male,5,Research Technician,Divorced,23284,1,2650,14,8,2,3,2,3,0,2
41,No,Travel_Rarely,Research & Development,26,3,Medical,Active,771,Female,3,Sales Executive,Married,17664,2,2650,17,8,2,7,2,4,0,3
37,No,Travel_Rarely,Research & Development,29,4,Technical Degree,Active,901,Male,5,Laboratory Technician,Married,13460,3,2650,12,8,1,9,2,4,0,2
32,No,Travel_Rarely,Research & Development,24,3,Life Sciences,Active,435,Male,4,Laboratory Technician,Married,22812,1,2640,25,8,1,8,4,8,6,3
47,No,Non-Travel,Research & Development,3,2,Life Sciences,Active,977,Female,2,Sales Executive,Married,13668,7,2640,12,8,1,4,5,1,0,0
22,Yes,Travel_Frequently,Research & Development,22,4,Medical,Active,603,Male,1,Sales Representative,Married,44000,0,2640,24,8,0,1,5,0,0,0
41,No,Travel_Rarely,Research & Development,3,3,Medical,Active,281,Male,5,Manufacturing Supervisor,Married,21064,1,2640,16,8,0,22,2,22,2,10
37,No,Travel_Rarely,Research & Development,1,4,Technical Degree,Active,215,Female,4,Manager,Married,66664,6,2640,11,8,2,8,3,6,4,3
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Active,62,Male,3,Research Technician,Married,15432,1,2630,11,8,1,13,6,13,11,9
47,No,Travel_Frequently,Research & Development,27,3,Life Sciences,Active,287,Male,1,Research Technician,Divorced,16000,9,2630,22,8,1,28,6,22,11,13
22,Yes,Travel_Frequently,Research & Development,7,3,Medical,Active,186,Female,2,Laboratory Technician,Single,15436,5,2630,13,8,2,4,2,2,1,2
40,No,Travel_Rarely,Human Resources,2,3,Medical,Active,511,Male,2,Sales Executive,Married,23276,1,2630,15,8,1,8,2,7,7,5
36,No,Non-Travel,Research & Development,10,4,Technical Degree,Active,284,Female,2,Research Technician,Married,14468,9,2630,19,8,1,10,3,8,0,5
32,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Active,818,Female,3,Laboratory Technician,Single,7832,2,2620,20,8,0,10,3,5,0,0
47,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Active,408,Male,2,Manufacturing Supervisor,Single,29000,1,2620,21,8,1,3,3,3,1,2
22,No,Travel_Rarely,Research & Development,2,2,Medical,Active,241,Female,5,Laboratory Technician,Married,10832,0,2620,14,8,0,3,3,2,2,2
40,No,Travel_Rarely,Sales,4,3,Medical,Active,702,Male,2,Sales Executive,Single,14704,1,2620,13,8,1,9,3,9,8,8
36,No,Travel_Rarely,Sales,5,3,Technical Degree,Active,34,Male,3,Sales Executive,Single,11668,4,2620,14,8,0,10,2,8,7,7
